	cuisines	property_title	ranking	review_count	url2
39	['Fast Food', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal']	Abu Jbara	#10 of 545 Restaurants in Amman	348 reviews 	/Restaurant_Review-g293986-d3261923-Reviews-Abu_Jbara-Amman_Amman_Governorate.html
40	['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']	Melograno	#11 of 545 Restaurants in Amman	82 reviews 	/Restaurant_Review-g293986-d10005312-Reviews-Melograno-Amman_Amman_Governorate.html
41	['Fast Food', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal']	Al-Quds	#12 of 545 Restaurants in Amman	197 reviews 	/Restaurant_Review-g293986-d2277785-Reviews-Al_Quds-Amman_Amman_Governorate.html
42	['Healthy', 'Middle Eastern', 'Cafe', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']	Wild Jordan Center	#13 of 545 Restaurants in Amman	414 reviews 	/Restaurant_Review-g293986-d1036043-Reviews-Wild_Jordan_Center-Amman_Amman_Governorate.html
43	['Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Halal']	Beit Sitti	#14 of 545 Restaurants in Amman	237 reviews 	/Restaurant_Review-g293986-d2441252-Reviews-Beit_Sitti-Amman_Amman_Governorate.html
44	['Steakhouse', 'Barbecue', 'Halal']	Lucca Steakhouse	#15 of 545 Restaurants in Amman	116 reviews 	/Restaurant_Review-g293986-d9706146-Reviews-Lucca_Steakhouse-Amman_Amman_Governorate.html
45	['Mediterranean', 'Middle Eastern', 'Lebanese', 'Halal', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']	Kan Zamaan	#16 of 545 Restaurants in Amman	141 reviews 	/Restaurant_Review-g293986-d1852510-Reviews-Kan_Zamaan-Amman_Amman_Governorate.html
46	['Lebanese', 'Mediterranean', 'Barbecue', 'Middle Eastern', 'Halal']	Burj Al Hamam	#17 of 545 Restaurants in Amman	160 reviews 	/Restaurant_Review-g293986-d1181235-Reviews-Burj_Al_Hamam-Amman_Amman_Governorate.html
47	['Mediterranean', 'Middle Eastern', 'Lebanese', 'Halal', 'Vegetarian Friendly']	Levant	#18 of 545 Restaurants in Amman	275 reviews 	/Restaurant_Review-g293986-d2477583-Reviews-Levant-Amman_Amman_Governorate.html
48	['Middle Eastern', 'Halal', 'Vegetarian Friendly', 'Vegan Options']	Rosa Damascena	#19 of 545 Restaurants in Amman	56 reviews 	/Restaurant_Review-g293986-d9590689-Reviews-Rosa_Damascena-Amman_Amman_Governorate.html
49	['Lebanese', 'Mediterranean', 'Middle Eastern', 'Eastern European', 'Halal', 'Vegetarian Friendly', 'Gluten Free Options']	Levant Restaurant	#20 of 545 Restaurants in Amman	99 reviews 	/Restaurant_Review-g293986-d6417061-Reviews-Levant_Restaurant-Amman_Amman_Governorate.html
50	['Fast Food', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal']	Hashim Restaurant	#21 of 545 Restaurants in Amman	131 reviews 	/Restaurant_Review-g293986-d3267255-Reviews-Hashim_Restaurant-Amman_Amman_Governorate.html
51	['Cafe']	Books at Cafe	#22 of 545 Restaurants in Amman	342 reviews 	/Restaurant_Review-g293986-d1570764-Reviews-Books_at_Cafe-Amman_Amman_Governorate.html
52	['Lebanese', 'Mediterranean', 'Middle Eastern', 'Halal']	Tannoureen	#23 of 545 Restaurants in Amman	157 reviews 	/Restaurant_Review-g293986-d816762-Reviews-Tannoureen-Amman_Amman_Governorate.html
53	['Lebanese', 'Mediterranean', 'Middle Eastern', 'Halal']	Reem albawadi	#24 of 545 Restaurants in Amman	308 reviews 	/Restaurant_Review-g293986-d807849-Reviews-Reem_albawadi-Amman_Amman_Governorate.html
54	['Italian', 'Mediterranean', 'European', 'Vegan Options', 'Vegetarian Friendly']	IL Terrazzo Amman Restaurant	#25 of 545 Restaurants in Amman	61 reviews 	/Restaurant_Review-g293986-d7698440-Reviews-IL_Terrazzo_Amman_Restaurant-Amman_Amman_Governorate.html
55	['Italian', 'French', 'International', 'Argentinean', 'South American', 'Arabic']	Clemance Restaurant	#26 of 545 Restaurants in Amman	20 reviews 	/Restaurant_Review-g293986-d12242637-Reviews-Clemance_Restaurant-Amman_Amman_Governorate.html
56	['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Gluten Free Options']	Yoshi	#27 of 545 Restaurants in Amman	144 reviews 	/Restaurant_Review-g293986-d1483307-Reviews-Yoshi-Amman_Amman_Governorate.html
57	['International', 'Vegetarian Friendly']	Off The Record	#28 of 545 Restaurants in Amman	29 reviews 	/Restaurant_Review-g293986-d11805115-Reviews-Off_The_Record-Amman_Amman_Governorate.html
58	['Japanese', 'Sushi', 'Asian']	Vinaigrette	#29 of 545 Restaurants in Amman	138 reviews 	/Restaurant_Review-g293986-d3172067-Reviews-Vinaigrette-Amman_Amman_Governorate.html
59	['Italian', 'European', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']	Gusto	#30 of 545 Restaurants in Amman	39 reviews 	/Restaurant_Review-g293986-d10148621-Reviews-Gusto-Amman_Amman_Governorate.html
60	['American', 'Barbecue']	Brisket	#1 of 545 Restaurants in Amman	268 reviews 	/Restaurant_Review-g293986-d7267482-Reviews-Brisket-Amman_Amman_Governorate.html
61	['Pizza', 'Arabic', 'Halal', 'Gluten Free Options']	Pizza Roma Cafe	#2 of 545 Restaurants in Amman	300 reviews 	/Restaurant_Review-g293986-d3389330-Reviews-Pizza_Roma_Cafe-Amman_Amman_Governorate.html
62	['Middle Eastern', 'Halal']	Habibah Sweets	#3 of 545 Restaurants in Amman	665 reviews 	/Restaurant_Review-g293986-d2084697-Reviews-Habibah_Sweets-Amman_Amman_Governorate.html
